
Step(*): 0, t: 0.015625, dt: 0, highest active timebin: 0  (lowest active: 0, highest occupied: 0)

Step(*): 1, t: 0.0156886, dt: 6.35886e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 2, t: 0.0157524, dt: 6.38473e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 3, t: 0.0158165, dt: 6.41072e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 4, t: 0.0158809, dt: 6.43681e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 5, t: 0.0159455, dt: 6.463e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 6, t: 0.0160104, dt: 6.48931e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 7, t: 0.0160756, dt: 6.51572e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 8, t: 0.016141, dt: 6.54223e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 9, t: 0.0162067, dt: 6.56886e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 10, t: 0.0162727, dt: 6.59559e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 11, t: 0.0163389, dt: 6.62243e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 12, t: 0.0164054, dt: 6.64938e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 13, t: 0.0164721, dt: 6.67644e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 14, t: 0.0165392, dt: 6.70361e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 15, t: 0.0166065, dt: 6.7309e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 16, t: 0.0166741, dt: 6.75829e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 17, t: 0.0167419, dt: 6.78579e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 18, t: 0.0168101, dt: 6.81341e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 19, t: 0.0168785, dt: 6.84114e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 20, t: 0.0169472, dt: 6.86898e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 21, t: 0.0170161, dt: 6.89693e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 22, t: 0.0170854, dt: 6.925e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 23, t: 0.0171549, dt: 6.95318e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 24, t: 0.0172247, dt: 6.98148e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 25, t: 0.0172948, dt: 7.00989e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 26, t: 0.0173652, dt: 7.03842e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 27, t: 0.0174359, dt: 7.06706e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 28, t: 0.0175068, dt: 7.09582e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 29, t: 0.0175781, dt: 7.1247e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 30, t: 0.0176496, dt: 7.1537e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 31, t: 0.0177215, dt: 7.18281e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 32, t: 0.0177936, dt: 7.21204e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 33, t: 0.017866, dt: 7.24139e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 34, t: 0.0179387, dt: 7.27086e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 35, t: 0.0180117, dt: 7.30045e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 36, t: 0.018085, dt: 7.33016e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 37, t: 0.0181586, dt: 7.35999e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 38, t: 0.0182325, dt: 7.38995e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

